Wed Mar 27 14:14:06 CET 2019	24.3	29.8
Wed Mar 27 14:14:07 CET 2019	24.3	29.8
Wed Mar 27 14:14:09 CET 2019	24.3	29.8
Wed Mar 27 14:14:10 CET 2019	24.3	29.8
Wed Mar 27 14:14:11 CET 2019	24.3	29.9
Wed Mar 27 14:14:12 CET 2019	24.3	29.9
Wed Mar 27 14:14:13 CET 2019	24.3	29.9
Wed Mar 27 14:14:14 CET 2019	24.3	29.9
Wed Mar 27 14:14:15 CET 2019	24.3	29.9
Wed Mar 27 14:14:16 CET 2019	24.3	29.9
Wed Mar 27 14:14:17 CET 2019	24.3	29.9
Wed Mar 27 14:14:18 CET 2019	24.3	29.9
Wed Mar 27 14:14:19 CET 2019	24.3	30.0
Wed Mar 27 14:14:20 CET 2019	24.3	30.0
Wed Mar 27 14:14:21 CET 2019	24.3	30.0
Wed Mar 27 14:14:22 CET 2019	24.3	30.0
Wed Mar 27 14:14:24 CET 2019	24.3	30.1
Wed Mar 27 14:14:25 CET 2019	24.3	30.1
Wed Mar 27 14:14:26 CET 2019	24.3	30.1
Wed Mar 27 14:14:27 CET 2019	24.3	30.1
Wed Mar 27 14:14:28 CET 2019	24.3	30.1
Wed Mar 27 14:14:29 CET 2019	24.3	30.1
Wed Mar 27 14:14:30 CET 2019	24.3	30.1
Wed Mar 27 14:14:31 CET 2019	24.3	30.1
Wed Mar 27 14:14:32 CET 2019	24.3	30.1
Wed Mar 27 14:14:33 CET 2019	24.3	30.0
Wed Mar 27 14:14:34 CET 2019	24.3	30.0
Wed Mar 27 14:14:35 CET 2019	24.3	29.9
Wed Mar 27 14:14:36 CET 2019	24.3	29.9
Wed Mar 27 14:14:38 CET 2019	24.3	29.9
Wed Mar 27 14:14:39 CET 2019	24.3	29.9
Wed Mar 27 14:14:40 CET 2019	24.3	29.9
Wed Mar 27 14:14:41 CET 2019	24.3	29.9
Wed Mar 27 14:14:42 CET 2019	24.3	29.9
Wed Mar 27 14:14:43 CET 2019	24.3	29.9
Wed Mar 27 14:14:44 CET 2019	24.3	29.9
Wed Mar 27 14:14:45 CET 2019	24.3	29.9
Wed Mar 27 14:14:46 CET 2019	24.3	29.8
Wed Mar 27 14:14:47 CET 2019	24.4	29.8
Wed Mar 27 14:14:48 CET 2019	24.3	29.7
Wed Mar 27 14:14:49 CET 2019	24.3	29.7
Wed Mar 27 14:14:50 CET 2019	24.3	29.7
Wed Mar 27 14:14:52 CET 2019	24.3	29.6
Wed Mar 27 14:14:53 CET 2019	24.3	29.6
Wed Mar 27 14:14:54 CET 2019	24.3	29.6
Wed Mar 27 14:14:55 CET 2019	24.3	29.5
Wed Mar 27 14:14:56 CET 2019	24.3	29.5
Wed Mar 27 14:14:57 CET 2019	24.3	29.5
Wed Mar 27 14:14:58 CET 2019	24.3	29.5
Wed Mar 27 14:14:59 CET 2019	24.3	29.6
Wed Mar 27 14:15:00 CET 2019	24.3	29.6
Wed Mar 27 14:15:01 CET 2019	24.3	29.6
Wed Mar 27 14:15:02 CET 2019	24.3	29.6
Wed Mar 27 14:15:03 CET 2019	24.3	29.6
Wed Mar 27 14:15:04 CET 2019	24.3	29.7
Wed Mar 27 14:15:05 CET 2019	24.3	29.7
Wed Mar 27 14:15:07 CET 2019	24.3	29.7
Wed Mar 27 14:15:08 CET 2019	24.3	29.7
Wed Mar 27 14:15:09 CET 2019	24.4	29.7
Wed Mar 27 14:15:10 CET 2019	24.3	29.7
Wed Mar 27 14:15:11 CET 2019	24.3	29.7
Wed Mar 27 14:15:12 CET 2019	24.3	29.7
Wed Mar 27 14:15:13 CET 2019	24.3	29.7
Wed Mar 27 14:15:14 CET 2019	24.3	29.7
Wed Mar 27 14:15:15 CET 2019	24.3	29.7
Wed Mar 27 14:15:16 CET 2019	24.3	29.7
Wed Mar 27 14:15:17 CET 2019	24.3	29.7
Wed Mar 27 14:15:18 CET 2019	24.3	29.7
Wed Mar 27 14:15:19 CET 2019	24.3	29.7
Wed Mar 27 14:15:21 CET 2019	24.3	29.7
Wed Mar 27 14:15:22 CET 2019	24.3	29.7
Wed Mar 27 14:15:23 CET 2019	24.3	29.7
Wed Mar 27 14:15:24 CET 2019	24.4	29.7
Wed Mar 27 14:15:25 CET 2019	24.3	29.7
Wed Mar 27 14:15:26 CET 2019	24.3	29.7
Wed Mar 27 14:15:27 CET 2019	24.3	29.7
Wed Mar 27 14:15:28 CET 2019	24.3	29.7
Wed Mar 27 14:15:29 CET 2019	24.4	29.7
Wed Mar 27 14:15:30 CET 2019	24.4	29.7
Wed Mar 27 14:15:31 CET 2019	24.3	29.6
Wed Mar 27 14:15:32 CET 2019	24.3	29.6
Wed Mar 27 14:15:33 CET 2019	24.3	29.6
Wed Mar 27 14:15:35 CET 2019	24.3	29.6
Wed Mar 27 14:15:36 CET 2019	24.3	29.7
Wed Mar 27 14:15:37 CET 2019	24.3	29.7
Wed Mar 27 14:15:38 CET 2019	24.3	29.7
Wed Mar 27 14:15:39 CET 2019	24.3	29.7
Wed Mar 27 14:15:40 CET 2019	24.3	29.8
Wed Mar 27 14:15:41 CET 2019	24.3	29.9
Wed Mar 27 14:15:42 CET 2019	24.3	29.9
Wed Mar 27 14:15:43 CET 2019	24.3	29.9
Wed Mar 27 14:15:44 CET 2019	24.3	29.9
Wed Mar 27 14:15:45 CET 2019	24.3	29.9
Wed Mar 27 14:15:46 CET 2019	24.3	29.9
Wed Mar 27 14:15:47 CET 2019	24.3	29.8
Wed Mar 27 14:15:49 CET 2019	24.3	29.8
Wed Mar 27 14:15:50 CET 2019	24.3	29.8
Wed Mar 27 14:15:51 CET 2019	24.3	29.7
Wed Mar 27 14:15:52 CET 2019	24.3	29.7
Wed Mar 27 14:15:53 CET 2019	24.3	29.7
Wed Mar 27 14:15:54 CET 2019	24.3	29.7
Wed Mar 27 14:15:55 CET 2019	24.3	29.7
Wed Mar 27 14:15:56 CET 2019	24.3	29.7
Wed Mar 27 14:15:57 CET 2019	24.3	29.7
Wed Mar 27 14:15:58 CET 2019	24.3	29.7
Wed Mar 27 14:15:59 CET 2019	24.3	29.7
Wed Mar 27 14:16:00 CET 2019	24.3	29.7
Wed Mar 27 14:16:01 CET 2019	24.3	29.8
Wed Mar 27 14:16:02 CET 2019	24.3	29.8
Wed Mar 27 14:16:04 CET 2019	24.3	29.8
Wed Mar 27 14:16:05 CET 2019	24.3	29.9
Wed Mar 27 14:16:06 CET 2019	24.3	29.9
Wed Mar 27 14:16:07 CET 2019	24.3	29.9
Wed Mar 27 14:16:08 CET 2019	24.3	30.0
Wed Mar 27 14:16:09 CET 2019	24.3	30.0
Wed Mar 27 14:16:10 CET 2019	24.3	30.1
Wed Mar 27 14:16:11 CET 2019	24.3	30.2
Wed Mar 27 14:16:12 CET 2019	24.3	30.3
Wed Mar 27 14:16:13 CET 2019	24.3	30.3
Wed Mar 27 14:16:14 CET 2019	24.3	30.4
Wed Mar 27 14:16:15 CET 2019	24.3	30.4
Wed Mar 27 14:22:47 CET 2019	24.5	29.2
Wed Mar 27 14:22:48 CET 2019	24.5	29.2
Wed Mar 27 14:22:49 CET 2019	24.5	29.2
Wed Mar 27 14:22:50 CET 2019	24.5	29.2
Wed Mar 27 14:22:51 CET 2019	24.5	29.2
Wed Mar 27 14:22:52 CET 2019	24.5	29.2
Wed Mar 27 14:22:53 CET 2019	24.5	29.3
Wed Mar 27 14:22:54 CET 2019	24.5	29.3
Wed Mar 27 14:22:55 CET 2019	24.5	29.3
Wed Mar 27 14:22:56 CET 2019	24.5	29.3
Wed Mar 27 14:22:57 CET 2019	24.5	29.3
Wed Mar 27 14:22:58 CET 2019	24.5	29.3
Wed Mar 27 14:22:59 CET 2019	24.5	29.3
Wed Mar 27 14:23:01 CET 2019	24.5	29.2
Wed Mar 27 14:23:02 CET 2019	24.5	29.2
Wed Mar 27 14:23:03 CET 2019	24.5	29.1
Wed Mar 27 14:23:04 CET 2019	24.5	29.1
Wed Mar 27 14:23:05 CET 2019	24.5	29.1
Wed Mar 27 14:23:06 CET 2019	24.5	29.1
Wed Mar 27 14:23:07 CET 2019	24.6	29.0
Wed Mar 27 14:23:08 CET 2019	24.5	29.0
Wed Mar 27 14:23:09 CET 2019	24.6	28.9
Wed Mar 27 14:23:10 CET 2019	24.6	28.9
Wed Mar 27 14:23:11 CET 2019	24.6	28.9
Wed Mar 27 14:23:12 CET 2019	24.5	28.9
Wed Mar 27 14:23:13 CET 2019	24.6	28.9
Wed Mar 27 14:23:15 CET 2019	24.5	28.8
Wed Mar 27 14:23:16 CET 2019	24.6	28.8
Wed Mar 27 14:23:17 CET 2019	24.6	28.7
Wed Mar 27 14:23:18 CET 2019	24.6	28.7
Wed Mar 27 14:23:19 CET 2019	24.6	28.7
Wed Mar 27 14:23:20 CET 2019	24.6	28.7
Wed Mar 27 14:23:21 CET 2019	24.6	28.7
Wed Mar 27 14:23:22 CET 2019	24.6	28.6
Wed Mar 27 14:23:23 CET 2019	24.6	28.7
Wed Mar 27 14:23:24 CET 2019	24.6	28.7
Wed Mar 27 14:23:25 CET 2019	24.6	28.7
Wed Mar 27 14:23:26 CET 2019	24.6	28.7
Wed Mar 27 14:23:27 CET 2019	24.6	28.7
Wed Mar 27 14:23:29 CET 2019	24.6	28.6
Wed Mar 27 14:23:30 CET 2019	24.6	28.6
Wed Mar 27 14:23:31 CET 2019	24.6	28.6
Wed Mar 27 14:23:32 CET 2019	24.6	28.6
Wed Mar 27 14:23:33 CET 2019	24.6	28.6
Wed Mar 27 14:23:34 CET 2019	24.6	28.6
Wed Mar 27 14:23:35 CET 2019	24.6	28.6
Wed Mar 27 14:23:36 CET 2019	24.6	28.6
Wed Mar 27 14:23:37 CET 2019	24.6	28.7
Wed Mar 27 14:23:38 CET 2019	24.6	28.7
Wed Mar 27 14:23:39 CET 2019	24.6	28.7
Wed Mar 27 14:23:54 CET 2019	24.6	28.5
Wed Mar 27 14:23:55 CET 2019	24.6	28.5
Wed Mar 27 14:23:56 CET 2019	24.6	28.5
Wed Mar 27 14:23:57 CET 2019	24.6	28.5
Wed Mar 27 14:23:58 CET 2019	24.6	28.5
Wed Mar 27 14:23:59 CET 2019	24.6	28.6
Wed Mar 27 14:24:01 CET 2019	24.6	28.6
Wed Mar 27 14:24:02 CET 2019	24.6	28.5
Wed Mar 27 14:24:03 CET 2019	24.6	28.5
Wed Mar 27 14:24:04 CET 2019	24.6	28.5
Wed Mar 27 14:24:05 CET 2019	24.6	28.5
Wed Mar 27 14:24:06 CET 2019	24.6	28.5
Wed Mar 27 14:24:07 CET 2019	24.6	28.5
Wed Mar 27 14:24:08 CET 2019	24.6	28.5
Wed Mar 27 14:24:09 CET 2019	24.6	28.5
Wed Mar 27 14:24:10 CET 2019	24.6	28.5
Wed Mar 27 14:24:11 CET 2019	24.6	28.6
Wed Mar 27 14:24:12 CET 2019	24.6	28.5
Wed Mar 27 14:24:13 CET 2019	24.6	28.5
Wed Mar 27 14:24:15 CET 2019	24.6	28.5
Wed Mar 27 14:24:16 CET 2019	24.6	28.5
Wed Mar 27 14:24:17 CET 2019	24.6	28.6
Wed Mar 27 14:24:18 CET 2019	24.6	28.7
Wed Mar 27 14:24:33 CET 2019	24.6	29.0
Wed Mar 27 14:24:34 CET 2019	24.6	29.0
Wed Mar 27 14:24:35 CET 2019	24.6	29.0
Wed Mar 27 14:24:36 CET 2019	24.6	28.9
Wed Mar 27 14:24:37 CET 2019	24.6	28.9
Wed Mar 27 14:24:38 CET 2019	24.6	28.9
Wed Mar 27 14:24:39 CET 2019	24.6	28.9
Wed Mar 27 14:24:41 CET 2019	24.6	28.9
Wed Mar 27 14:24:42 CET 2019	24.6	28.9
Wed Mar 27 14:24:43 CET 2019	24.6	28.9
Wed Mar 27 14:24:44 CET 2019	24.6	28.9
Wed Mar 27 14:24:45 CET 2019	24.6	28.9
Wed Mar 27 14:24:46 CET 2019	24.6	28.9
Wed Mar 27 14:24:47 CET 2019	24.6	28.9
Wed Mar 27 14:24:48 CET 2019	24.6	28.9
Wed Mar 27 14:24:49 CET 2019	24.6	28.9
Wed Mar 27 14:24:50 CET 2019	24.6	28.8
Wed Mar 27 14:24:51 CET 2019	24.6	28.8
Wed Mar 27 14:24:52 CET 2019	24.6	28.7
Wed Mar 27 14:24:53 CET 2019	24.6	28.7
Wed Mar 27 14:24:54 CET 2019	24.6	28.6
Wed Mar 27 14:24:56 CET 2019	24.6	28.6
Wed Mar 27 14:24:57 CET 2019	24.6	28.5
Wed Mar 27 14:24:58 CET 2019	24.6	28.5
Wed Mar 27 14:24:59 CET 2019	24.6	28.5
Wed Mar 27 14:25:00 CET 2019	24.6	28.5
Wed Mar 27 14:25:01 CET 2019	24.6	28.5
Wed Mar 27 14:25:02 CET 2019	24.6	28.5
Wed Mar 27 14:25:03 CET 2019	24.6	28.5
Wed Mar 27 14:25:04 CET 2019	24.6	28.5
Wed Mar 27 14:25:05 CET 2019	24.6	28.6
Wed Mar 27 14:25:06 CET 2019	24.6	28.6
Wed Mar 27 14:25:07 CET 2019	24.6	28.6
Wed Mar 27 14:25:08 CET 2019	24.6	28.7
Wed Mar 27 14:25:10 CET 2019	24.6	28.7
Wed Mar 27 14:25:11 CET 2019	24.6	28.7
Wed Mar 27 14:25:12 CET 2019	24.6	28.7
Wed Mar 27 14:25:13 CET 2019	24.6	28.7
Wed Mar 27 14:25:14 CET 2019	24.6	28.7
Wed Mar 27 14:28:41 CET 2019	24.7	28.3
Wed Mar 27 14:28:43 CET 2019	24.7	28.3
Wed Mar 27 14:28:44 CET 2019	24.7	28.3
Wed Mar 27 14:28:45 CET 2019	24.7	28.3
Wed Mar 27 14:37:50 CET 2019	25.0	28.2
Wed Mar 27 14:37:51 CET 2019	25.0	28.1
Wed Mar 27 14:37:52 CET 2019	25.0	28.1
Wed Mar 27 14:37:53 CET 2019	25.0	28.1
Wed Mar 27 14:37:54 CET 2019	25.1	28.1
Wed Mar 27 14:37:55 CET 2019	25.0	28.0
Wed Mar 27 14:37:56 CET 2019	25.1	28.0
Wed Mar 27 14:37:57 CET 2019	25.1	28.0
Wed Mar 27 14:37:58 CET 2019	25.0	27.9
Wed Mar 27 14:37:59 CET 2019	25.0	27.9
Wed Mar 27 14:38:01 CET 2019	25.1	27.9
Wed Mar 27 14:38:02 CET 2019	25.0	27.8
Wed Mar 27 14:38:03 CET 2019	25.0	27.8
Wed Mar 27 14:38:04 CET 2019	25.0	27.8
Wed Mar 27 14:38:05 CET 2019	25.0	27.7
Wed Mar 27 14:38:06 CET 2019	25.0	27.8
Wed Mar 27 14:38:07 CET 2019	25.0	28.1
Wed Mar 27 14:38:08 CET 2019	25.1	29.2
Wed Mar 27 14:38:09 CET 2019	25.1	31.4
Wed Mar 27 14:38:10 CET 2019	25.1	34.5
Wed Mar 27 14:38:11 CET 2019	25.1	41.5
Wed Mar 27 14:38:12 CET 2019	25.2	45.0
Wed Mar 27 14:38:13 CET 2019	25.2	48.4
Wed Mar 27 14:38:15 CET 2019	25.2	50.6
Wed Mar 27 14:38:16 CET 2019	25.2	50.2
Wed Mar 27 14:38:17 CET 2019	25.2	47.7
Wed Mar 27 14:38:18 CET 2019	25.2	44.8
Wed Mar 27 14:38:19 CET 2019	25.2	42.1
Wed Mar 27 14:38:20 CET 2019	25.2	39.8
Wed Mar 27 14:38:21 CET 2019	25.3	37.7
Wed Mar 27 14:38:22 CET 2019	25.3	36.1
Wed Mar 27 14:38:23 CET 2019	25.3	34.9
Wed Mar 27 14:38:24 CET 2019	25.3	33.3
Wed Mar 27 14:38:25 CET 2019	25.3	32.7
Wed Mar 27 14:38:26 CET 2019	25.4	32.1
Wed Mar 27 14:40:08 CET 2019	25.5	27.0
Wed Mar 27 14:40:09 CET 2019	25.5	26.9
Wed Mar 27 14:40:10 CET 2019	25.5	26.9
Wed Mar 27 14:40:11 CET 2019	25.5	26.9
Wed Mar 27 14:40:12 CET 2019	25.5	26.9
Wed Mar 27 14:40:41 CET 2019	25.5	27.3
Wed Mar 27 14:40:42 CET 2019	25.5	27.3
Wed Mar 27 14:40:43 CET 2019	25.5	27.3
Wed Mar 27 14:40:44 CET 2019	25.5	27.3
Wed Mar 27 14:40:45 CET 2019	25.5	27.2
Wed Mar 27 14:40:47 CET 2019	25.5	27.2
Wed Mar 27 14:40:48 CET 2019	25.5	27.2
Wed Mar 27 14:40:49 CET 2019	25.5	27.1
Wed Mar 27 14:40:50 CET 2019	25.5	27.2
Wed Mar 27 14:40:51 CET 2019	25.5	27.2
Wed Mar 27 14:40:52 CET 2019	25.5	27.2
Wed Mar 27 14:40:53 CET 2019	25.5	27.2
Wed Mar 27 14:40:54 CET 2019	25.5	27.2
Wed Mar 27 14:48:01 CET 2019	25.4	27.0
Wed Mar 27 14:48:02 CET 2019	25.4	27.0
Wed Mar 27 14:48:03 CET 2019	25.4	27.0
Wed Mar 27 14:48:04 CET 2019	25.4	27.0
Wed Mar 27 14:48:06 CET 2019	25.4	27.0
Wed Mar 27 14:48:07 CET 2019	25.4	27.0
Wed Mar 27 14:48:08 CET 2019	25.4	27.0
Wed Mar 27 14:48:09 CET 2019	25.4	27.0
Wed Mar 27 14:48:10 CET 2019	25.4	27.1
Wed Mar 27 14:48:11 CET 2019	25.4	27.1
Wed Mar 27 14:48:12 CET 2019	25.4	27.2
Wed Mar 27 14:48:13 CET 2019	25.4	27.2
Wed Mar 27 14:48:14 CET 2019	25.4	27.2
Wed Mar 27 14:48:15 CET 2019	25.4	27.2
Wed Mar 27 14:48:16 CET 2019	25.4	27.2
Wed Mar 27 14:48:17 CET 2019	25.4	27.2
Wed Mar 27 14:48:18 CET 2019	25.4	27.3
Wed Mar 27 14:48:20 CET 2019	25.4	27.3
Wed Mar 27 14:48:21 CET 2019	25.4	27.3
Wed Mar 27 14:48:22 CET 2019	25.4	27.3
Wed Mar 27 14:48:23 CET 2019	25.4	27.3
Wed Mar 27 14:48:24 CET 2019	25.4	27.3
Wed Mar 27 14:48:25 CET 2019	25.4	27.3
Wed Mar 27 14:48:26 CET 2019	25.4	27.3
Wed Mar 27 14:48:27 CET 2019	25.4	27.3
Wed Mar 27 14:48:28 CET 2019	25.4	27.3
Wed Mar 27 14:48:29 CET 2019	25.4	27.3
Fri Apr 12 14:31:34 CEST 2019	24.0	31.1
Fri Apr 12 14:31:35 CEST 2019	24.0	31.1
Fri Apr 12 14:31:36 CEST 2019	24.0	31.1
Fri Apr 12 14:31:37 CEST 2019	24.0	31.0
Fri Apr 12 14:31:38 CEST 2019	24.0	31.0
Fri Apr 12 14:31:39 CEST 2019	24.0	31.0
Fri Apr 12 14:31:40 CEST 2019	24.0	31.0
Fri Apr 12 14:31:41 CEST 2019	24.0	31.1
Fri Apr 12 14:31:43 CEST 2019	24.0	31.1
Fri Apr 12 14:31:44 CEST 2019	24.0	31.1
Fri Apr 12 14:31:45 CEST 2019	24.0	31.1
Fri Apr 12 14:31:46 CEST 2019	24.0	31.1
Fri Apr 12 14:31:47 CEST 2019	24.0	31.1
Fri Apr 12 14:31:48 CEST 2019	24.0	31.1
Fri Apr 12 14:31:49 CEST 2019	24.0	31.1
Fri Apr 12 14:31:50 CEST 2019	24.0	31.1
Fri Apr 12 14:31:51 CEST 2019	24.0	31.2
Fri Apr 12 14:31:52 CEST 2019	24.0	31.2
Fri Apr 12 14:31:53 CEST 2019	24.0	31.2
Fri Apr 12 14:31:54 CEST 2019	24.0	31.2
Fri Apr 12 14:31:55 CEST 2019	24.0	31.2
Fri Apr 12 14:31:57 CEST 2019	24.0	31.2
Fri Apr 12 14:31:58 CEST 2019	24.0	31.2
Fri Apr 12 14:31:59 CEST 2019	24.0	31.2
Fri Apr 12 14:32:00 CEST 2019	24.0	31.2
Fri Apr 12 14:32:01 CEST 2019	24.0	31.2
Fri Apr 12 14:32:02 CEST 2019	24.0	31.2
Fri Apr 12 14:32:03 CEST 2019	24.0	31.2
Fri Apr 12 14:32:04 CEST 2019	24.0	31.2
Fri Apr 12 14:32:05 CEST 2019	24.0	31.3
Fri Apr 12 14:32:06 CEST 2019	24.0	31.3
Fri Apr 12 14:32:07 CEST 2019	24.0	31.3
Fri Apr 12 14:32:08 CEST 2019	24.0	31.3
Fri Apr 12 14:32:09 CEST 2019	24.0	31.3
Fri Apr 12 14:32:11 CEST 2019	24.0	31.3
Fri Apr 12 14:32:12 CEST 2019	24.0	31.3
Fri Apr 12 14:32:13 CEST 2019	24.0	31.3
Fri Apr 12 14:32:14 CEST 2019	24.0	31.2
Fri Apr 12 14:32:15 CEST 2019	24.0	31.2
Fri Apr 12 14:32:16 CEST 2019	24.0	31.2
Fri Apr 12 14:32:17 CEST 2019	24.0	31.2
Fri Apr 12 14:32:18 CEST 2019	24.0	31.2
Fri Apr 12 14:32:19 CEST 2019	24.0	31.3
Fri Apr 12 14:32:20 CEST 2019	24.0	31.3
Fri Apr 12 14:32:21 CEST 2019	24.0	31.2
Fri Apr 12 14:32:22 CEST 2019	24.0	31.2
Fri Apr 12 14:32:24 CEST 2019	24.0	31.2
Fri Apr 12 14:32:25 CEST 2019	24.0	31.2
Fri Apr 12 14:32:26 CEST 2019	24.0	31.2
Fri Apr 12 14:32:27 CEST 2019	24.0	31.1
Fri Apr 12 14:32:28 CEST 2019	24.0	31.1
Fri Apr 12 14:32:29 CEST 2019	24.0	31.0
Fri Apr 12 14:32:30 CEST 2019	24.0	31.0
Fri Apr 12 14:32:31 CEST 2019	24.0	31.0
Fri Apr 12 14:32:32 CEST 2019	24.0	31.0
Fri Apr 12 14:32:33 CEST 2019	24.0	31.0
Fri Apr 12 14:32:34 CEST 2019	24.0	31.0
Fri Apr 12 14:32:35 CEST 2019	24.0	30.9
Fri Apr 12 14:32:36 CEST 2019	24.0	30.9
Fri Apr 12 14:32:38 CEST 2019	24.0	30.8
Fri Apr 12 14:32:39 CEST 2019	24.0	30.8
Fri Apr 12 14:32:40 CEST 2019	24.0	30.8
Fri Apr 12 14:32:41 CEST 2019	24.0	30.8
Fri Apr 12 14:32:42 CEST 2019	24.0	30.7
Fri Apr 12 14:34:24 CEST 2019	23.9	29.4
